2004/11/28,18:32:14.53	42.9435	145.2797	48.17	7.1	OFF_NEMURO_PENINSULA	41;211	67;24	94;81	3.36e+19	50	7.0	90.54	-0.4638	1.8661	1.5016	-1.5180	-1.7335	1.9818	1e+19	3
2004/12/06,14:15:11.81	42.8452	145.3468	45.91	6.9	OFF_NEMURO_PENINSULA	41;222	64;26	90;90	1.41e+19	44	6.7	89.40	-0.3849	0.7571	0.5790	-0.5770	-0.6625	0.9619	1e+19	3
2005/01/19,06:11:30.30	33.9525	141.9928	30.00	6.8	FAR_SE_OFF_BOSO_PEN	7;165	48;44	105;74	5.55e+18	11	6.5	93.54	-0.3651	-0.3315	1.2138	-5.2210	-0.4481	5.5861	1e+18	3
2005/03/20,01:53:40.32	33.7392	130.1763	9.24	7.0	NW_OFF_KYUSHU	122;213	87;79	-11;-177	7.80e+18	11	6.6	95.47	7.1117	-3.2593	-1.0424	-6.7536	-1.0029	-0.3582	1e+18	3
2005/08/16,02:46:25.74	38.1507	142.2795	41.63	7.2	E_OFF_MIYAGI_PREF	29;194	69;22	96;76	5.43e+19	44	7.1	90.66	-0.0536	1.6385	2.0324	-3.3309	-3.4139	3.3845	1e+19	3
2005/11/14,21:38:52.08	38.0305	144.8895	83.00	7.1	FAR_E_OFF_NORTH_HONSHU	178;29	63;31	-105;-63	4.06e+19	14	7.0	93.86	0.1712	-0.8147	-0.6536	3.1430	-2.2420	-3.3142	1e+19	3
2005/12/02,13:13:07.90	38.0727	142.3535	40.28	6.6	E_OFF_MIYAGI_PREF	21;205	71;19	89;93	5.39e+18	35	6.5	95.19	-0.3514	1.3246	1.4954	-2.9356	-3.9192	3.2870	1e+18	3
2006/11/15,11:14:09.60	46.7027	154.0475	30.00	7.9	FAR_FIELD	28;214	56;35	87;95	6.21e+20	8	7.8	63.38	-1.8393	2.2496	0.8498	-4.1828	-2.0912	6.0221	1e+20	3
2006/12/26,12:26:18.88	21.6492	120.7523	0.00	6.9	TAIWAN_REGION	327;135	64;26	-85;-101	2.51e+19	17	6.9	69.99	0.7943	0.9370	0.7552	1.1937	1.3570	-1.9880	1e+19	3
2006/12/26,12:34:11.96	21.8165	120.6863	0.00	7.2	TAIWAN_REGION	37;299	74;65	-154;-18	9.44e+18	5	6.6	62.39	9.3232	-3.4388	-0.5668	-6.1815	3.3354	-3.1418	1e+18	3
2007/01/13,04:23:13.05	46.9378	155.0522	30.00	8.2	FAR_FIELD	61;240	47;43	-89;-91	1.11e+21	11	8.0	66.90	0.8472	-0.4800	-0.0633	0.2607	0.0247	-1.1079	1e+21	3
2007/01/30,21:37:44.02	21.2237	145.4028	37.98	7.1	MARIANA_ISLANDS_REGION	102;6	79;65	25;167	7.91e+18	5	6.6	79.37	1.6397	-6.6415	3.4378	-2.7954	-0.8549	1.1557	1e+18	1
2007/03/25,00:41:57.91	37.2207	136.6860	10.70	6.9	OFF_NOTO_PENINSULA	58;173	66;48	132;34	1.36e+19	8	6.7	93.06	0.1909	0.6977	0.7798	-0.9431	-0.0063	0.7522	1e+19	3
2007/07/16,01:13:22.55	37.5568	138.6095	16.75	6.8	OFF_S_NIIGATA_PREF	215;49	49;42	80;101	9.30e+18	8	6.6	90.54	-4.1689	4.3649	0.1645	-5.1035	1.7065	9.2723	1e+18	3
2007/07/16,14:17:36.96	36.8660	135.1045	373.83	6.7	NW_OFF_KINKI_DISTRICT	27;286	79;46	-135;-15	1.78e+19	380	6.8	94.06	1.1009	-0.9013	-0.3152	-0.6351	1.1649	-0.4658	1e+19	3
2007/09/28,13:38:54.99	21.9860	143.0975	268.18	7.6	MARIANA_ISLANDS_REGION	92;271	53;37	90;90	1.88e+20	290	7.5	98.05	-1.8521	-0.0522	0.5079	0.0791	0.0185	1.7729	1e+20	1
2008/05/07,16:45:18.77	36.2282	141.6077	50.57	7.0	FAR_E_OFF_IBARAKI_PREF	18;216	68;24	83;107	1.97e+19	35	6.8	93.60	-0.1203	0.6758	0.3597	-1.1734	-1.3346	1.2937	1e+19	3
2008/06/13,23:43:45.36	39.0298	140.8807	7.77	7.2	SOUTHERN_IWATE_PREF	209;8	51;41	104;74	2.72e+19	5	6.9	96.62	-0.1409	0.8575	-0.6058	-2.4192	0.2611	2.5601	1e+19	3
2008/07/19,02:39:28.69	37.5208	142.2645	31.55	6.9	E_OFF_FUKUSHIMA_PREF	24;234	72;20	80;119	2.39e+19	35	6.9	91.45	-0.3986	0.8818	0.7089	-0.8752	-1.7858	1.2738	1e+19	3
2008/07/23,15:26:19.69	39.7320	141.6353	108.08	6.8	NORTHERN_IWATE_PREF	179;7	71;19	-93;-82	1.72e+19	104	6.8	70.71	0.5334	-0.0598	-0.0940	0.7760	-1.3709	-1.3095	1e+19	3
2008/09/11,00:20:51.35	41.7755	144.1515	30.86	7.1	SE_OFF_TOKACHI	17;269	78;36	56;159	1.97e+19	29	6.8	75.96	-0.6407	1.1083	0.2235	-0.0345	-1.4700	0.6752	1e+19	3
2009/01/15,17:49:37.18	46.9957	155.1680	30.00	7.4	FAR_FIELD	132;222	90;87	-3;-180	6.94e+19	35	7.2	73.43	8.1428	-0.6423	-0.3640	-5.6537	-0.1272	-2.4890	1e+19	3
2009/04/07,04:23:30.11	46.0068	152.1927	30.00	6.7	KURILE_ISLANDS_REGION	341;222	60;50	48;139	1.51e+19	44	6.8	86.20	0.4424	0.3909	-0.6638	-1.4142	-0.3577	0.9718	1e+19	3
2009/04/18,19:17:55.52	45.9915	152.0738	30.00	6.5	KURILE_ISLANDS_REGION	339;232	75;44	48;158	5.90e+18	47	6.5	87.23	2.7282	1.8993	-1.4082	-5.1086	-3.2886	2.3804	1e+18	3
2009/08/09,10:55:52.13	33.1280	138.4040	332.91	6.8	FAR_S_OFF_TOKAI_DISTRICT	4;101	86;30	-60;-172	5.46e+19	320	7.1	93.86	0.0208	2.6400	-0.8906	0.6994	4.6747	-0.7202	1e+19	3
2009/08/12,22:48:51.79	32.8693	140.8257	57.33	6.6	E_OFF_HACHIJOJIMA_ISLAND	215;17	68;23	97;73	6.60e+18	65	6.5	93.35	-0.6200	2.0859	-2.8841	-3.8022	3.7147	4.4222	1e+18	3
